   1 25
 21
  0 0.1                       D+01
  1 0.1                       D+01
  2 0.2                       D+01
  3 0.6                       D+01
  4 0.24                      D+02
  5 0.120                     D+03
  6 0.720                     D+03
  7 0.5040                    D+04
  8 0.40320                   D+05
  9 0.362880                  D+06
 10 0.3628800                 D+07
 11 0.39916800                D+08
 12 0.479001600               D+09
 13 0.6227020800              D+10
 14 0.87178291200             D+11
 15 0.1307674368000           D+13
 16 0.20922789888000          D+14
 17 0.355687428096000         D+15
 18 0.6402373705728000        D+16
 19 0.121645100408832000      D+18
 20 0.2432902008176640000     D+19
    5 0.691687043060353207874891D+00    6 0.559770831073947534607872D+00
    7 0.411751161462842646035932D+00    8 0.251886225691505509588973D+00
    9 0.847750130417353012422618D-01
   19
    1 0.992406843843584403189018D+00    2 0.960208152134830030852779D+00
    3 0.903155903614817901642661D+00    4 0.822714656537142824978923D+00
    5 0.720966177335229378617096D+00    6 0.600545304661681023469638D+00
    7 0.464570741375960945717267D+00    8 0.316564099963629831990117D+00
    9 0.160358645640225375868096D+00
   20
    1 0.993128599185094924786122D+00    2 0.963971927277913791267666D+00
    3 0.912234428251325905867752D+00    4 0.839116971822218823394529D+00
    5 0.746331906460150792614305D+00    6 0.636053680726515025452837D+00
    7 0.510867001950827098004364D+00    8 0.373706088715419560672548D+00
    9 0.227785851141645078080496D+00   10 0.765265211334973337546404D-01
   21
    1 0.993752170620389500260242D+00    2 0.967226838566306294316622D+00
    3 0.920099334150400828790187D+00    4 0.853363364583317283647251D+00
    5 0.768439963475677908615878D+00    6 0.667138804197412319305967D+00
    7 0.551618835887219807059019D+00    8 0.424342120207438783573669D+00
    9 0.288021316802401096600793D+00   10 0.145561854160895090937031D+00
   22
    1 0.994294585482399292073031D+00    2 0.970060497835428727123951D+00
    3 0.926956772187174000520693D+00    4 0.865812577720300136536426D+00
    5 0.787816805979208162004278D+00    6 0.694487263186682780050690D+00
    7 0.587640403506911592958877D+00    8 0.469355837986757026406331D+00
    9 0.341935820892084225158147D+00   10 0.207860426688221285478847D+00
   11 0.697392733197222212138418D-01
   23
    1 0.994769334997552123523926D+00    2 0.972542471218115231956024D+00
    3 0.932971086826016102349197D+00    4 0.876752358270441667378157D+00
    5 0.804888401618839892151118D+00    6 0.718661363131950194461624D+00
    7 0.619609875763646156385097D+00    8 0.509501477846007549689793D+00
    9 0.390301038030290831421489D+00   10 0.264135680970344930533870D+00
   11 0.133256824298466110931743D+00
   24
    1 0.995187219997021360179997D+00    2 0.974728555971309498198392D+00
    3 0.938274552002732758523649D+00    4 0.886415527004401034213154D+00
    5 0.820001985973902921953950D+00    6 0.740124191578554364243828D+00
    7 0.648093651936975569252496D+00    8 0.545421471388839535658376D+00
    9 0.433793507626045138487084D+00   10 0.315042679696163374386793D+00
   11 0.191118867473616309158640D+00   12 0.640568928626056260850431D-01
   25
    1 0.995556969790498097908785D+00    2 0.976663921459517511498315D+00
    3 0.942974571228974339414011D+00    4 0.894991997878275368851042D+00
    5 0.833442628760834001421021D+00    6 0.759259263037357630577283D+00
    7 0.673566368473468364485121D+00    8 0.577662930241222967723690D+00
    9 0.473002731445714960522182D+00   10 0.361172305809387837735822D+00
   11 0.243866883720988432045190D+00   12 0.122864692610710396387360D+00
   26
    1 0.995885701145616929003217D+00    2 0.978385445956470991100580D+00
    3 0.947159066661714250135915D+00    4 0.902637861984307074217666D+00
    5 0.845445942788498018797507D+00    6 0.776385948820678856192967D+00
    7 0.696427260419957264863814D+00    8 0.606692293017618063231979D+00
    9 0.508440714824505717695703D+00   10 0.403051755123486306481077D+00
   11 0.292004839485956895142835D+00   12 0.176858820356890183969058D+00
   13 0.592300934293132070937186D-01
   27
    1 0.996179262888988566938887D+00    2 0.979923475961501222855873D+00
    3 0.950900557814705006851908D+00    4 0.909482320677491104300645D+00
    5 0.856207908018294490302737D+00    6 0.791771639070508227144397D+00
    7 0.717013473739423699294816D+00    8 0.632907971946495140927735D+00
    9 0.540551564579456894900301D+00   10 0.441148251750026880585974D+00
   11 0.335993903638508899730319D+00   12 0.226459365439536858857239D+00
   13 0.113972585609529966932895D+00
   28
    1 0.996442497573954449950436D+00    2 0.981303165370872753694560D+00
    3 0.954259280628938197254102D+00    4 0.915633026392132073869689D+00
    5 0.865892522574395048942255D+00    6 0.805641370917179171447886D+00
